isAvaliable,make,manufactureYear,seatNum,seriesNum,model,location,updateTime,maintanceExpreiedDate
True,chevrolet,2015,3,1gc1kwegxff145382,door,washington,11/19/2018,10/22/2021
False,dodge,2018,5,3c4pdcab6jt273002,mpv,florida,7/23/2011,7/31/2018
True,ford,2016,2,1fm5k8fh9ggc37790,explorer,south carolina,8/28/2017,5/22/2018
True,chevrolet,2011,2,1gc1kxc86bf208814,door,washington,3/12/2014,4/20/2022
False,dodge,2018,4,3c4pdcab0jt474412,mpv,florida,9/1/2020,5/6/2025
True,ford,2016,4,1fmjk1ht3gef52975,el,south carolina,9/3/2013,10/13/2024
True,cadillac,2016,4,1g6ah1rx1g0193887,door,michigan,12/8/2011,7/7/2016
False,dodge,2018,1,3c4pdcab8jt384019,mpv,florida,8/8/2018,5/27/2022
True,ford,2016,5,2fmpk3j98gbb59781,edge,south carolina,6/21/2018,6/19/2022
True,bmw,2016,4,wba7f2c57gg421020,series,michigan,11/11/2012,7/6/2024
False,dodge,2018,5,3c4pddgg1jt523058,doors,florida,9/18/2017,2/10/2023
True,ford,2016,3,1ftew1ep1gfc64335,door,south carolina,8/19/2018,4/15/2021
True,bmw,2016,1,wba7f2c55gg415264,series,michigan,5/31/2017,3/28/2021
False,dodge,2018,4,2c3cdxbg0jh187083,doors,florida,12/29/2015,12/5/2018
True,ford,2016,5,2fmhk6c89gba05297,flex,south carolina,7/16/2019,12/22/2024
True,buick,2016,5,5gakvbkd8gj196085,door,michigan,3/1/2010,4/9/2012
False,dodge,2018,4,2c3cdzag7jh321665,doors,florida,1/3/2019,2/16/2024
True,ford,2014,3,1ft7x2b62eea29551,door,pennsylvania,8/6/2020,2/21/2021
True,bmw,2016,2,wba7f2c57gg419607,series,michigan,3/21/2013,5/18/2014
False,dodge,2018,5,3c4pdcgg9jt216280,mpv,florida,8/4/2017,10/8/2020
True,ford,2014,3,1fm5k8f81egb23411,door,pennsylvania,12/27/2017,5/10/2023
True,chevrolet,2016,4,3gcuknec6gg150809,1500,michigan,4/24/2020,6/18/2021
True,ford,2017,3,1ft7w2bt7hec67263,door,texas,5/22/2019,6/13/2020
False,ford,2014,5,1fmcu0g9xeud52262,door,new york,5/9/2010,11/22/2017
True,chevrolet,2016,3,3gcukrec5gg383569,door,michigan,4/30/2016,11/21/2022
True,ford,2017,5,1ft7w2bt0hef21363,door,texas,11/7/2011,10/27/2021
True,ford,2015,2,1ftew1cf3fke12825,door,south carolina,12/20/2014,12/6/2024
True,chevrolet,2016,1,3gcukrec0gg380000,door,michigan,3/16/2016,7/17/2022
False,ford,2017,1,1fmzk1cmxhkb51025,mpv,texas,8/25/2015,9/4/2022
False,chevrolet,2009,5,1gbhg396191112177,van,michigan,4/7/2011,5/18/2025
True,chevrolet,2016,4,3gcukrec4gg223800,door,michigan,1/18/2013,12/5/2018
False,ford,2017,5,3fa6p0h73hr358945,door,texas,5/29/2015,4/30/2024
False,dodge,2002,1,1b7hg38n62s587845,pk,michigan,5/30/2011,4/17/2025
True,cadillac,2016,1,3gyfnae36gs538333,srx,michigan,12/30/2017,10/16/2023
False,ford,2017,3,3fa6p0hd3hr199785,door,texas,9/18/2020,5/8/2024
False,chrysler,2000,2,2c3hd46r3yh208325,door,north carolina,3/8/2014,1/30/2023
True,chevrolet,2016,2,1gchtde32g1339478,colorado,michigan,12/10/2010,3/20/2020
True,ford,2017,4,1ft7w2bt8hec67434,door,texas,6/14/2010,7/12/2023
True,ford,2014,4,1ftfw1et9efb99877,door,south carolina,2/14/2012,3/27/2013
True,chevrolet,2016,1,1gcvknec1gz396932,1500,michigan,8/24/2013,7/2/2018
False,ford,2017,4,3fa6p0hd7hr273550,door,texas,1/25/2012,6/11/2017
True,ford,2011,1,1ftfw1ef1bfa03548,door,georgia,5/15/2010,7/10/2023
True,chevrolet,2016,5,3gcuktec5gg350066,door,michigan,7/10/2013,4/26/2019
False,ford,2017,3,1fbax2cv0hkb32599,mpv,texas,6/8/2015,7/4/2017
True,ford,2011,3,1fduf5gt8bea80212,cab,south carolina,12/4/2011,9/13/2017
True,chevrolet,2016,1,3gcuksec3gg369662,door,michigan,3/14/2019,12/25/2024
False,ford,2017,2,nm0ls7e76h1312963,wagon,texas,12/4/2017,9/30/2019
False,dodge,2001,1,1b7hc16x01s213315,pickup,georgia,7/29/2014,4/5/2024
True,chevrolet,2016,1,1gc1kve82gf207345,door,michigan,2/23/2015,12/1/2022
False,ford,2017,5,1fadp3e24hl348263,doors,texas,11/13/2010,9/29/2017
False,dodge,2005,3,3d7ks28c15g771945,pickup,south carolina,8/21/2014,9/5/2017
False,chevrolet,2018,1,1g1zb5st8jf226848,malibu,texas,6/15/2019,10/16/2023
True,ford,2017,5,1ft7w2b60hec03964,door,texas,3/14/2020,10/13/2020
False,chevrolet,2020,3,2gnaxkev6l6128374,vehicl,kentucky,3/28/2020,9/3/2022
True,buick,2017,1,kl4cjcsb1hb024411,encore,texas,4/12/2020,6/4/2022
False,ford,2017,1,nm0ls7e79h1312701,wagon,texas,5/1/2019,12/21/2022
False,chrysler,2005,2,2c3ja43r35h179032,door,massachusetts,3/21/2010,2/28/2021
True,chevrolet,2020,4,1g1fb1rx6l0109117,camaro,georgia,12/31/2013,7/6/2018
False,ford,2017,2,1fmzk1cm1hkb51026,mpv,texas,12/26/2018,9/5/2020
True,ford,2016,2,1fatp8uhxg5296168,door,arizona,6/4/2015,3/10/2017
True,chevrolet,2020,2,3gncjlsb1ll142267,trax,georgia,4/7/2018,2/5/2023
False,ford,2017,3,3fa6p0g73hr140652,door,texas,2/1/2010,8/11/2019
True,ford,2016,4,1ft7w2b60geb96643,door,florida,11/24/2014,7/17/2021
True,chevrolet,2020,2,1gnscbkc4lr164829,tahoe,georgia,5/10/2016,9/1/2018
False,ford,2017,1,3fa6p0hd8hr305132,door,texas,4/8/2018,3/4/2019
True,ford,2015,4,1ftew1cg0ffa89853,door,arizona,5/2/2016,7/10/2016
True,chevrolet,2020,1,1gnscbkcxlr162857,tahoe,georgia,2/18/2018,11/2/2018
False,ford,2017,4,3fa6p0lu4hr246569,doors,texas,12/4/2017,5/22/2018
True,dodge,2012,3,1c6rd7lt4cs187334,door,pennsylvania,4/19/2011,8/26/2020
True,chevrolet,2020,5,3gncjlsb4ll149763,trax,georgia,1/18/2010,8/8/2019
False,ford,2017,3,1fmzk1cm7hkb51015,mpv,texas,9/26/2018,11/20/2018
True,dodge,2011,1,1d7rw3gp7bs614101,door,pennsylvania,8/25/2016,6/10/2022
True,chevrolet,2020,1,1gnscbkc6lr159535,tahoe,georgia,3/13/2010,3/9/2023
False,ford,2017,2,3fa6p0hd2hr178393,door,texas,9/21/2010,5/19/2016
True,dodge,2011,2,3d73y4clxbg535425,door,pennsylvania,9/13/2013,12/10/2019
True,chevrolet,2013,1,2g1fc3d32d9188287,door,texas,6/9/2017,7/5/2018
False,ford,2017,3,3fa6p0luxhr231039,doors,texas,6/1/2014,7/10/2017
False,ford,2014,4,1ftss3el7eda50076,van,florida,9/21/2015,9/21/2019
True,chevrolet,2014,2,1gc3czcg1ef176545,3500,texas,4/29/2017,2/12/2021
False,ford,2017,2,3fa6p0k93hr257687,door,texas,5/21/2020,7/25/2023
False,ford,2014,5,1fadp3f20el320177,door,florida,12/16/2015,5/2/2017
False,bmw,2011,5,wbaph7g58bnn05983,door,texas,3/2/2018,5/1/2025
False,ford,2016,5,1fmcu0f78gub36672,door,texas,4/6/2012,1/8/2014
True,dodge,2014,1,2c3cdxct3eh230364,door,arizona,8/29/2010,5/17/2022
True,chevrolet,2018,3,1gc1kwey3jf123662,2500,georgia,3/4/2020,1/26/2023
False,dodge,2016,5,2c4rdgbg2gr345223,van,texas,6/28/2015,11/11/2023
False,ford,2012,3,3fahp0ha5cr389742,door,florida,5/25/2013,1/28/2024
True,chevrolet,2018,3,1gnschkc6jr269601,suburban,georgia,1/29/2010,11/8/2021
False,ford,2016,4,2fmpk3k95gbb76939,mpv,texas,5/21/2014,5/5/2020
False,ford,2011,5,1ftne2ew6bda76057,cargo,florida,12/13/2016,3/27/2017
True,chevrolet,2018,2,1gc1kwey6jf259008,2500,georgia,7/29/2011,7/1/2021
False,ford,2016,1,2fmpk3g96gbc42228,mpv,texas,5/26/2020,4/21/2023
False,ford,2011,3,1ftew1cm0bfc14625,door,florida,1/8/2018,11/23/2019
True,chevrolet,2018,5,2gnaxjev9j6276848,equinox,georgia,6/12/2016,10/29/2022
False,dodge,2016,3,3c4pdcbb9gt181387,mpv,texas,7/20/2019,10/1/2025
True,ford,2008,1,1ftxw43r18eb10682,pickup,pennsylvania,2/16/2016,9/24/2019
True,chevrolet,2017,1,2gnalcek6h6289807,equinox,georgia,3/7/2019,5/11/2023
False,ford,2016,4,1ftew1cf8gkd34592,door,texas,1/25/2013,10/17/2017
False,ford,2008,3,1fdxf46r08ea18180,chassis,florida,7/10/2016,3/15/2025
True,chevrolet,2017,4,2gnalcek6h6288804,equinox,georgia,3/3/2012,12/25/2015
False,ford,2016,4,2fmpk3k80gbc65759,mpv,texas,3/25/2020,9/3/2021
False,ford,2005,3,1fdxf46p35ea79064,chassis,florida,12/6/2013,5/24/2016
True,chevrolet,2016,5,3gcuksec6gg284475,door,georgia,8/23/2010,9/4/2017
False,ford,2016,1,2fmpk4g97gbc51848,mpv,texas,6/16/2012,8/24/2019
True,dodge,2006,1,1d7ks28c96j246101,pickup,pennsylvania,1/31/2015,1/4/2020
False,chevrolet,2017,4,1g1ze5st0hf155999,door,nebraska,2/1/2016,2/18/2025
True,ford,2016,2,1ft7w2btxgeb64448,door,texas,4/10/2020,5/5/2024
True,ford,2012,2,1ftfw1et3cfb01665,door,arizona,2/11/2020,6/18/2023
True,chevrolet,2018,5,3gcukreh0jg303596,1500,ontario,8/11/2014,6/27/2016
False,ford,2016,3,1ftfw1ef9gkf57726,door,texas,12/18/2014,11/16/2025
False,ford,2003,5,1ftne24293hb19928,van,florida,10/15/2013,12/23/2013
False,ford,2016,3,1ftfx1ef7gkd59790,door,texas,8/28/2017,3/13/2022
True,ford,2011,5,1fd8w3gt0beb32874,drw,pennsylvania,7/10/2018,1/5/2022
True,chevrolet,2019,2,1g1zd5st5kf112138,malibu,washington,11/30/2019,3/15/2023
False,ford,2016,5,1ftew1cp2gke43168,door,texas,9/17/2015,12/26/2019
True,ford,2019,2,3fadp4bjxkm123238,fiesta,missouri,9/11/2019,4/19/2024
True,chevrolet,2019,2,1gcwgafgxk1243764,van,washington,7/11/2010,5/22/2022
True,ford,2016,4,wf0dp3th0g4113219,doors,texas,7/22/2014,12/25/2021
True,ford,2019,5,3fadp4bj4km123235,fiesta,missouri,7/29/2020,10/3/2021
True,chevrolet,2019,2,1gcwgafg4k1252945,van,washington,6/25/2020,1/23/2021
False,ford,2016,5,1ftex1ep1gfd60365,door,texas,7/2/2012,4/25/2024
True,ford,2019,5,3fadp4bj7km123231,fiesta,missouri,8/23/2020,7/11/2021
True,chevrolet,2013,3,1gc4k0cgxdf194396,door,washington,11/26/2014,10/22/2024
False,ford,2016,5,1ftfx1ef0gkf25969,door,texas,1/11/2013,6/2/2020
True,dodge,2019,2,2c3cdzl97kh518237,challenger,ohio,10/11/2015,6/11/2020
True,chevrolet,2019,1,1g11z5s37ku129047,impala,texas,4/19/2014,2/3/2016
True,ford,2019,2,1fd8w3ht1kee23298,doors,florida,6/30/2013,7/20/2017
True,dodge,2019,4,1c4sdjct6kc717612,durango,ohio,1/7/2017,12/7/2021
True,chevrolet,2019,1,2g11z5s33k9132248,impala,texas,7/22/2015,9/15/2022
True,ford,2017,4,1fd8w3ht4hed36245,cab,texas,7/28/2014,1/27/2016
True,dodge,2019,4,1c4sdjct5kc744865,durango,ohio,4/16/2011,10/24/2021
False,dodge,2007,2,2b3ka43g87h836300,door,minnesota,2/28/2017,5/2/2023
False,ford,2000,5,1fafp34p7yw270338,door,oklahoma,7/14/2015,8/28/2015
False,ford,2019,3,1fatp8uh7k5172626,doors,florida,10/11/2015,9/4/2020
False,hyundai,2017,5,5npd84lf6hh128808,door,connecticut,12/28/2015,3/10/2025
False,kia,2013,3,knagm4a75d5378293,door,missouri,7/27/2019,8/14/2025
False,jeep,2019,3,3c4njdcb3kt659526,mpv,georgia,11/24/2011,7/28/2017
False,mazda,2009,2,jm3er293590215768,door,indiana,10/25/2017,5/16/2025
True,kia,2019,3,kndjp3a55k7006351,soul,california,9/22/2012,12/9/2024
True,kia,2017,4,5xyphda50hg232046,sorento,north carolina,1/19/2014,7/15/2017
False,chevrolet,1998,1,1gccs1445wk226994,pickup,texas,9/17/2010,12/20/2024
False,ford,2017,2,3fa6p0h75hr150081,door,virginia,10/28/2012,1/13/2024
False,ford,2019,2,1fatp8uh2k5188622,doors,florida,10/23/2018,11/2/2020
False,hyundai,2017,2,kmhd84lf5hu191402,elantra,connecticut,6/8/2014,1/8/2018
False,honda,2003,2,1hgcm56363a030975,door,arkansas,11/12/2015,9/12/2024
False,jeep,2019,3,3c4njcbbxkt664931,mpv,georgia,9/20/2013,12/15/2022
True,infiniti,2019,1,5n1dl0mm9kc550722,mpv,florida,3/9/2019,1/14/2021
False,chevrolet,2011,4,2g1fb3ddxb9212618,door,arkansas,8/29/2020,11/3/2022
False,chevrolet,2008,5,1g1al58f787159241,door,texas,4/19/2018,3/5/2023
False,ford,2006,2,1fafp36n06w137851,wagon,florida,9/20/2012,11/1/2012
True,ford,2017,3,1ftew1ep3hfb25518,door,michigan,8/25/2014,9/20/2022
False,ford,2017,3,1fmcu9gd2huc27625,door,california,2/11/2015,7/22/2015
False,ford,2003,5,1fafp55u03a242094,door,kansas,9/16/2016,1/6/2023
False,gmc,2017,4,1gkknxls3hz174527,mpv,virginia,5/19/2015,5/30/2025
True,jeep,2019,4,1c4hjxeg1kw609998,mpv,michigan,11/27/2016,7/7/2019
True,infiniti,2019,2,5n1dl0mm1kc552741,mpv,florida,12/19/2012,7/26/2017
